代码,日股代码,公司名称,行业板块,现价 (¥),市值 (兆¥),滚动PE,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
7912.T,7912,Dai Nippon Printing,其他制品,2960.5,1.27,12.6,6.92,1.9,138.0,-4.6
7951.T,7951,Yamaha,其他制品,1249.0,0.55,23.7,6.84,12.0,208.0,-2.29
7974.T,7974,Nintendo,其他制品,8339.0,9.61,22.9,,-9.5,263.0,3.07
8001.T,8001,ITOCHU,综合商社,2306.5,16.12,18.0,14.09,8.9,191.0,10.71
8002.T,8002,Marubeni,综合商社,4976.0,8.09,15.1,14.21,20.6,231.0,-1.27
8015.T,8015,Toyota Tsusho,综合商社,7463.0,7.0,21.3,16.06,37.6,167.0,5.73
8031.T,8031,Mitsui & Co.,综合商社,5161.0,14.67,17.7,11.38,31.7,271.0,4.78
8035.T,8035,Tokyo Electron,电气设备,53110.0,24.13,42.4,30.93,33.3,141.0,-8.49
8053.T,8053,Sumitomo Corp.,综合商社,1796.0,8.49,14.4,13.61,9.0,223.0,4.63
8058.T,8058,Mitsubishi Corp.,综合商社,4947.0,18.11,23.6,10.08,22.8,253.0,3.27
8233.T,8233,Takashimaya,零售业,2117.0,0.62,,-0.54,5.9,189.0,-6.96
8252.T,8252,Marui Group,零售业,2882.5,0.5,18.2,12.44,7.4,465.0,-2.01
8267.T,8267,Aeon,零售业,1313.5,3.63,49.0,7.21,14.6,107.0,-3.98
8304.T,8304,Aozora Bank,银行业,3486.0,0.48,18.8,6.56,20.7,270.0,7.16
8306.T,8306,Mitsubishi UFJ Financial,银行业,3620.0,40.75,15.3,9.46,28.8,265.0,0.09
8308.T,8308,Resona Holdings,银行业,2451.5,5.48,21.6,9.23,15.8,151.0,2.44
8309.T,8309,Sumitomo Mitsui Trust,银行业,1768.5,4.87,13.4,10.78,27.3,269.0,2.9
8316.T,8316,Sumitomo Mitsui Financial,银行业,6830.0,25.95,15.3,8.57,24.8,132.0,-0.52
8331.T,8331,Chiba Bank,银行业,2737.0,1.89,18.7,8.3,51.8,234.0,-0.14
8354.T,8354,Fukuoka Financial Group,银行业,7746.0,1.46,17.1,8.71,13.1,271.0,1.72
8411.T,8411,Mizuho Financial Group,银行业,8495.0,20.56,15.2,12.49,35.0,177.0,0.71
8591.T,8591,ORIX,其他金融,6146.0,6.39,10.9,14.04,17.4,276.0,-2.74
8601.T,8601,Daiwa Securities Group,证券商品期货,1845.5,2.56,14.9,10.96,57.2,379.0,1.41
8604.T,8604,Nomura Holdings,证券商品期货,1581.0,4.62,11.9,11.16,31.2,323.0,-0.27
8630.T,8630,Sompo Holdings,保险业,6891.0,6.11,27.5,14.43,32.6,290.0,0.54
8697.T,8697,Japan Exchange Group,其他金融,2235.5,2.29,38.0,,,349.0,0.39
8725.T,8725,MS&AD Insurance,保险业,5217.0,7.45,9.9,16.09,2.4,268.0,6.01
8750.T,8750,Dai-ichi Life Holdings,保险业,1913.5,6.89,15.8,13.58,28.0,376.0,2.51
8766.T,8766,Tokio Marine Holdings,保险业,8200.0,15.58,29.4,,0.1,159.0,5.07
8795.T,8795,T&D Holdings,保险业,4952.0,2.35,17.7,9.34,-12.0,331.0,0.47
8801.T,8801,Mitsui Fudosan,不动产业,1485.0,4.0,14.7,6.71,-23.1,249.0,-1.91
8802.T,8802,Mitsubishi Estate,不动产业,3613.0,4.33,19.9,10.7,39.4,138.0,-5.85
8804.T,8804,Tokyo Tatemono,不动产业,3236.0,0.67,10.9,10.64,16.6,402.0,-4.35
8830.T,8830,Sumitomo Realty & Development,不动产业,3186.0,2.94,13.9,9.36,,163.0,-8.29
9001.T,9001,Tobu Railway,陆运业,2960.0,0.58,10.5,9.38,5.2,253.0,-0.97
9005.T,9005,Tokyu,陆运业,1662.5,0.93,10.9,,4.6,192.0,-1.68
9007.T,9007,Odakyu Electric Railway,陆运业,1799.5,0.62,16.6,7.12,3.5,333.0,2.47
9008.T,9008,Keio,陆运业,780.4,0.45,10.7,9.76,8.3,282.0,-0.25
9009.T,9009,Keisei Electric Railway,陆运业,1375.5,0.66,13.8,9.42,4.0,160.0,4.79
9020.T,9020,East Japan Railway (JR东日本),陆运业,3460.0,3.91,15.8,7.95,8.0,243.0,-2.61
9021.T,9021,West Japan Railway (JR西日本),陆运业,3036.0,1.38,10.9,9.34,-0.6,321.0,1.91
9022.T,9022,Central Japan Railway (JR东海),陆运业,3815.0,3.62,6.7,11.16,3.0,84.0,-1.33
9064.T,9064,Yamato Holdings,陆运业,1983.0,0.63,47.9,2.33,1.4,232.0,0.43
9101.T,9101,Nippon Yusen (NYK Line),海运业,7490.0,3.02,14.8,7.7,21.1,320.0,15.14
9104.T,9104,Mitsui O.S.K. Lines (MOL),海运业,7240.0,2.49,11.7,7.89,68.9,283.0,12.01
9107.T,9107,Kawasaki Kisen (K Line),海运业,3497.0,2.07,16.6,7.56,17.1,343.0,14.06
9201.T,9201,Japan Airlines (JAL),航空业,3065.0,1.32,10.0,9.07,10.2,313.0,2.7
9202.T,9202,ANA Holdings,航空业,2981.5,1.28,9.3,13.21,22.6,201.0,-2.04
9301.T,9301,Mitsubishi Logistics,仓储运输,1537.0,0.52,9.9,11.23,2.9,286.0,-0.55
9432.T,9432,NTT,信息通信,177.3,14.37,14.1,10.71,10.9,305.0,9.2
9433.T,9433,KDDI,信息通信,3060.0,11.31,16.7,14.59,3.6,275.0,4.58
9434.T,9434,SoftBank Corp.,信息通信,248.1,11.87,22.0,16.71,9.4,355.0,6.68
9501.T,9501,Tokyo Electric Power (TEPCO),电力煤气,549.7,0.88,,12.52,3.9,0.0,4.0
9502.T,9502,Chubu Electric Power,电力煤气,2913.0,2.2,9.7,6.04,3.2,240.0,0.38
9503.T,9503,Kansai Electric Power,电力煤气,2905.5,3.24,8.5,12.51,9.8,275.0,12.85
9531.T,9531,Tokyo Gas,电力煤气,6309.0,2.06,9.6,9.63,4.0,190.0,2.69
9532.T,9532,Osaka Gas,电力煤气,6073.0,2.29,15.5,7.9,1.5,214.0,8.18
9602.T,9602,Toho,服务业,1580.5,1.31,25.8,9.71,4.6,139.0,4.87
9735.T,9735,Secom,服务业,6436.0,2.57,23.3,8.71,3.6,186.0,-1.97
9766.T,9766,Konami Group,信息通信,21055.0,2.85,25.3,21.16,33.6,106.0,1.81
9843.T,9843,Nitori Holdings,零售业,3030.0,1.71,19.2,9.22,-2.3,106.0,6.04
9983.T,9983,Fast Retailing (优衣库母公司),零售业,67680.0,20.77,43.5,22.48,22.2,95.0,-9.19
9984.T,9984,SoftBank Group (软银集团),信息通信,6315.0,35.99,7.2,31.96,10.9,17.0,11.25
